Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Goals,"Shots per
game",Avg Minutes Played
Gaetan Laborde,6.44,76,"AM(C), FW",1,0,4.0,0,0,0.0,90.0
Clinton NJie,6.43,74,"AM(L), FW",3,2,0.3,0,3,0.4,117.66666666666667
"Eric Maxim Choupo0,00Moting",6.42,77,"M(CLR), FW",8,0,0.6,0,3,1.1,99.25
Nolan Roux,6.42,75,"AM(LR), FW",17,0,2.0,0,2,1.5,90.47058823529412
Souleymane Camara,6.41,68,"M(R), FW",0,0,0.5,0,3,0.8,
Marcus Coco,6.41,75,"AM(LR), FW",21,2,2.1,0,1,0.8,87.66666666666667
Yacine Bammou,6.4,72,"AM(CLR), FW",9,0,1.4,0,2,1.0,102.11111111111111
Umut Bozok,6.4,70,FW,14,3,0.8,0,2,1.2,88.64285714285714
Kévin Zohi,6.39,64,Forward,6,1,0.5,0,1,0.9,103.83333333333333
Kostas Mitroglou,6.38,77,FW,7,0,0.8,0,3,1.4,82.85714285714286
Makhtar Gueye,6.38,62,"Forward, Forward",0,1,1.0,0,1,0.4,
Giovani Lo Celso,6.38,80,"AM(C), FW",0,0,0.0,0,0,0.0,
