Name,Rating,Fifa Ability Overall,Position,Apps,Man of the match,Pass success percentage,Avg Minutes Played
Marco Sau,6.09,73,"AM(C), FW",5,0,89.4,110.8
Marco Sau,6.09,73,"AM(C), FW",0,0,100.0,
Edgar Prib,6.87,72,"D(L), M(CL)",2,1,80.0,101.5
Karim Onisiwo,6.81,72,"AM(LR), FW",11,2,62.6,104.81818181818181
Nicolas Höfler,6.67,72,"D(C), DMC",18,0,86.2,89.77777777777777
Roland Sallai,6.62,72,AM(L),5,0,78.4,105.4
Robin Koch,6.61,72,"D(C), DMC",21,0,82.4,90.42857142857143
Kenan Karaman,6.59,72,"AM(CLR), FW",9,1,71.0,101.66666666666667
Pascal Stenzel,6.59,72,"D(R), M(R)",16,1,81.9,90.8125
Marcel Sobottka,6.59,72,DMC,11,0,79.2,85.9090909090909
Alfredo Morales,6.58,72,M(C),16,2,74.2,95.4375
Andre Hoffmann,6.55,72,"D(C), DMC",11,0,87.4,95.18181818181819
Jan Morávek,6.49,72,M(C),7,0,78.6,108.42857142857143
Marvin Ducksch,6.42,72,FW,8,1,69.3,102.75
Sebastian Jung,6.41,72,D(R),1,0,87.0,57.0
Alexander Esswein,6.4,72,"AM(LR), FW",15,0,71.2,83.93333333333334
Robert Bauer,6.39,72,"D(CLR), M(LR)",19,0,76.7,90.73684210526316
Michaël Cuisance,6.38,72,M(C),1,0,79.3,269.0
Isaac Thelin,6.29,72,FW,1,0,57.9,175.0
Lucas Höler,6.27,72,"AM(CLR), FW",11,0,67.6,91.27272727272727
Leandro Cabrera,7.01,72,D(CL),31,2,50.6,90.12903225806451
Dimitrios Siovas,6.94,72,D(C),34,1,72.3,87.20588235294117
Youssef En-Nesyri,6.91,72,"FW, FW",22,4,56.8,95.72727272727273
Jorge Miramón,6.9,72,"D(R), M(R)",30,1,75.1,83.2
Kenneth Omeruo,6.78,72,D(C),27,1,80.3,90.14814814814815
Mikel Vesga,6.77,72,DMC,23,0,80.1,90.21739130434783
Kiko Olivas,6.71,72,D(C),35,0,88.1,88.62857142857143
Gorka Elustondo,6.56,72,"D(C), M(C)",3,0,81.0,95.33333333333333
Carles Aleñá,6.44,72,M(C),6,1,92.1,105.16666666666667
Adrián Marín,6.44,72,D(L),2,0,70.7,143.5
Jon Bautista,6.37,72,FW,4,1,61.8,146.75
Tito,6.36,72,D(CLR),12,0,76.4,91.58333333333333
Carlos Vigaray,6.33,72,D(CLR),7,0,72.1,92.42857142857143
Daniele Verde,6.27,72,AM(LR),4,0,79.3,160.75
Samuele Longo,6.24,72,FW,6,0,64.2,91.83333333333333
Duje Cop,6.2,72,FW,6,0,66.9,113.16666666666667
Téji Savanier,7.89,72,DMC,32,8,71.4,89.5625
Ronaël Pierre-Gabriel,7.19,72,"D(LR), D(LR)",4,1,86.5,89.0
Vukasin Jovanovic,7.08,72,D(C),15,2,85.0,91.86666666666666
Marcus Thuram,7.0,72,"AM(L), FW",32,3,73.2,80.71875
Yunis Abdelhamid,6.97,72,D(C),38,3,82.9,90.0
José Fonte,6.97,72,D(C),36,1,87.4,86.44444444444444
Damien Le Tallec,6.91,72,"D(C), DMC",31,1,79.1,90.70967741935483
Anthony Briancon,6.88,72,D(C),33,0,81.2,88.6969696969697
Christopher Jullien,6.86,72,D(C),34,2,83.0,88.70588235294117
Félix Eboa Eboa,6.85,72,D(CR),27,3,77.4,89.88888888888889
Lebo Mothiba,6.81,72,FW,3,0,81.8,85.0
Nuno da Costa,6.8,72,"AM(R), FW",22,1,69.1,93.4090909090909
Boubacar Kamara,6.8,72,"D(CL), DMC",27,2,86.4,89.29629629629629
Denis Bouanga,6.79,72,AM(LR),29,2,69.7,91.03448275862068
Mehdi Abeid,6.73,72,DMC,23,1,86.5,88.1304347826087
Rafael Leão,6.73,72,FW,16,1,72.6,80.9375
Lionel Carole,6.71,72,"D(L), M(L)",20,0,79.7,86.4
Abdoulaye Bamba,6.71,72,"D(LR), M(R)",29,0,78.0,88.75862068965517
Alexis Blin,6.7,72,DMC,25,0,81.1,79.96
François Moubandje,6.65,72,D(CL),21,0,78.6,92.14285714285714
Benjamin Jeannot,6.64,72,"AM(R), FW",19,0,72.2,76.21052631578948
Benjamin Corgnet,6.6,72,"M(CLR), FW",6,0,64.8,111.16666666666667
Juan Ferney Otero,6.57,72,"AM(R), FW",24,0,74.9,90.83333333333333
Stéphane Bahoken,6.57,72,FW,31,0,73.4,80.41935483870968
Lebogang Phiri,6.56,72,DMC,23,0,88.7,84.0
Igor Lewczuk,6.55,72,D(C),3,0,86.7,149.33333333333334
Lebo Mothiba,6.55,72,FW,18,1,78.5,98.27777777777777
Rui Fonte,6.47,72,"M(R), FW",5,0,78.6,124.0
Eddy Gnahore,6.47,72,M(C),24,1,89.5,93.5
Saif-Eddine Khaoui,6.44,72,"AM(CR), AM(CR)",17,0,72.4,80.11764705882354
Yannick Cahuzac,6.4,72,DMC,15,0,81.8,95.2
Yacine Bammou,6.4,72,"AM(CLR), FW",9,0,76.3,102.11111111111111
Bassem Srarfi,6.38,72,AM(R),8,0,81.3,101.625
Remi Walter,6.35,72,M(CR),8,0,91.1,103.5
Romain Métanire,6.35,72,D(R),4,0,72.8,78.25
Oualid El Hajjam,6.35,72,D(R),6,0,72.6,90.33333333333333
Adama Traoré,6.35,72,AM(C),3,0,77.9,80.0
Ismaël Diomandé,6.31,72,"D(C), DMC",14,0,82.5,92.64285714285714
Alexandre Mendy,6.3,72,FW,8,0,72.2,95.625
Assane Dioussé,6.28,72,"DMC, DMC",2,0,84.5,106.5
Corentin Jean,6.26,72,"AM(LR), FW",6,0,79.0,103.83333333333333
Guessouma Fofana,6.2,72,DMC,2,0,72.7,93.0
Steven Moreira,6.2,72,"D(LR), M(R)",10,0,77.1,86.4
Frédéric Sammaritano,6.18,72,AM(LR),6,0,83.0,89.5
Guessouma Fofana,6.17,72,DMC,4,0,76.6,118.75
Philip Billing,7.08,72,DMC,25,3,78.6,87.68
Isaac Hayden,6.96,72,DMC,21,2,79.4,88.76190476190476
Juan Foyth,6.93,72,D(CR),10,1,85.2,89.0
Jonjoe Kenny,6.78,72,D(R),8,0,72.0,98.75
Joe Bennett,6.77,72,"D(L), M(L)",30,0,71.8,88.03333333333333
Phil Bardsley,6.66,72,D(LR),19,0,69.0,88.0
Diogo Dalot,6.63,72,"D(LR), M(R)",12,0,70.9,84.58333333333333
Yves Bissouma,6.63,72,M(C),17,1,81.8,104.17647058823529
Cyrus Christie,6.61,72,"D(R), M(R)",19,0,76.4,102.36842105263158
Adama Traoré,6.59,72,"M(R), FW",8,1,72.2,112.0
Josh Murphy,6.54,72,"AM(LR), FW",22,1,60.4,83.0
Beram Kayal,6.49,72,DMC,9,1,71.2,104.11111111111111
Rajiv van La Parra,6.32,72,"AM(LR), FW",5,0,85.7,81.4
Kenneth Zohore,6.31,72,FW,7,0,62.5,106.71428571428571
Jason Puncheon,6.31,72,M(CLR),5,0,79.5,76.6
Jacob Murphy,6.25,72,AM(LR),3,0,65.9,100.0
Isaac Mbenza,6.14,72,"AM(LR), FW",10,0,75.4,98.4
Robin Gosens,7.11,72,"D(L), M(CL)",23,2,78.9,84.65217391304348
Nicola Murru,6.93,72,D(L),34,1,78.4,86.38235294117646
Stefano Sensi,6.91,72,AM(C),23,1,89.5,86.08695652173913
Ali Adnan,6.87,72,"D(L), M(L)",2,0,70.6,83.0
Thiago Cionek,6.83,72,D(CR),29,1,80.9,87.86206896551724
Giovanni Di Lorenzo,6.75,72,"D(R), M(R)",37,2,80.1,90.0
Federico Peluso,6.74,72,"D(CL), M(L)",14,1,84.7,96.85714285714286
Alessandro Murgia,6.7,72,M(C),11,1,88.0,97.45454545454545
Jacopo Dezi,6.69,72,Midfielder,1,0,90.0,90.0
Moise Kean,6.69,72,FW,5,1,79.8,107.2
Jacopo Sala,6.67,72,"D(R), M(CR)",16,0,85.3,94.8125
Federico Ceccherini,6.66,72,D(C),11,0,85.6,90.36363636363636
Christian Nørgaard,6.66,72,M(C),4,0,83.5,81.0
Luca Ceppitelli,6.63,72,D(C),24,0,82.9,85.58333333333333
Douglas Costa,6.63,72,M(CLR),7,1,86.2,88.57142857142857
Lorenzo Ariaudo,6.62,72,D(C),19,0,83.0,88.63157894736842
Emil Hallfredsson,6.57,72,AM(C),1,0,92.6,135.0
Fabio Pisacane,6.55,72,D(CLR),24,0,83.9,94.41666666666667
José Mauri,6.54,72,M(C),2,0,89.0,103.5
Daniel Bessa,6.53,72,AM(C),25,0,84.3,97.76
Filippo Romagna,6.52,72,D(C),16,0,88.4,92.0625
Cristian Molinaro,6.5,72,"D(L), M(L)",13,0,70.5,89.3076923076923
Ronaldo Vieira,6.46,72,DMC,6,0,85.1,99.0
Patric,6.45,72,"D(CR), M(R)",12,0,83.2,90.41666666666667
Domenico Maietta,6.44,72,D(C),21,0,84.9,81.85714285714286
Sergio Pellissier,6.41,72,FW,12,0,74.6,79.5
Mattia Sprocati,6.38,72,Midfielder,5,0,73.1,127.8
Alberto Cerri,6.32,72,FW,7,0,62.3,95.28571428571429
Assane Dioussé,6.25,72,DMC,9,0,81.4,99.0
Alessandro Matri,6.23,72,FW,6,0,76.7,99.33333333333333
Vasco Regini,6.18,72,D(CL),1,0,73.8,81.0
Fabio Ceravolo,6.18,72,FW,12,0,72.7,98.58333333333333
Stipe Perica,6.16,72,FW,6,0,67.0,77.83333333333333
Marcello Trotta,6.15,72,"AM(R), FW",4,0,73.4,98.75
Lucas Piazon,6.07,72,AM(CLR),0,0,75.9,
Emil Hallfredsson,6.01,72,AM(C),5,0,84.6,78.6
Abdou Diallo,6.88,71,D(CL),27,1,89.0,88.18518518518519
Enrico Valentini,6.85,71,"D(R), M(R)",15,0,67.9,86.8
Dong-Won Ji,6.77,71,"AM(CLR), FW",10,0,72.5,89.2
Evan Ndicka,6.74,71,D(C),24,0,79.3,95.91666666666667
Nicolás González,6.74,71,"AM(L), FW",23,1,62.1,94.08695652173913
Oliver Fink,6.74,71,M(CL),13,0,58.6,81.38461538461539
Jean Zimmer,6.5,71,"D(R), M(R)",17,1,71.0,84.6470588235294
Amir Abrashi,6.49,71,DMC,9,0,85.9,87.88888888888889
Philipp Mwene,6.49,71,"D(R), M(R)",2,0,72.2,135.5
Gerrit Holtmann,6.4,71,AM(L),1,0,64.0,143.0
Miiko Albornoz,6.37,71,"D(L), M(L)",19,0,75.3,87.36842105263158
Tim Kleindienst,6.24,71,FW,2,0,72.4,99.5
Fredrik Jensen,6.14,71,AM(C),2,0,57.7,103.0
Pascal Köpke,6.08,71,"AM(CR), FW",0,0,78.6,
Paulinho,6.08,71,AM(LR),0,0,83.3,
Berkay Özcan,6.07,71,M(CL),0,0,87.1,
Manuel Morlanes,6.8,71,M(C),7,1,84.1,87.28571428571429
Jorge Pulido,6.75,71,D(C),32,0,75.4,87.1875
Dimitri Foulquier,6.59,71,"D(LR), M(R)",23,1,62.8,78.65217391304348
Marc Cucurella,6.58,71,M(L),26,0,78.8,90.61538461538461
Javi Moyano,6.52,71,D(R),25,1,74.1,84.32
Luca Sangalli,6.51,71,AM(C),12,1,74.2,83.33333333333333
David Ferreiro,6.5,71,AM(L),23,0,75.8,99.0
Pedro López,6.45,71,"D(R), M(R)",5,0,85.1,92.8
Antoñito,6.41,71,"D(R), M(R)",18,0,76.9,103.05555555555556
Chechu Dorado,6.33,71,D(C),1,0,90.4,90.0
Gerard Gumbau,6.3,71,DMC,13,0,75.7,92.07692307692308
Ezequiel Muñoz,6.14,71,D(C),2,0,81.7,105.5
Álex Alegría,6.11,71,FW,0,0,68.8,
Xavier Chavalerin,6.94,71,DMC,36,1,80.5,90.0
Franck Tabanou,6.9,71,"D(L), M(L)",2,0,76.9,90.0
Mehmet Zeki Çelik,6.89,71,D(R),34,0,76.9,87.52941176470588
Issiaga Sylla,6.88,71,"D(LR), M(L)",23,1,77.9,86.73913043478261
Andrei Girotto,6.83,71,DMC,18,0,79.3,82.11111111111111
Anthony Gonçalves,6.75,71,M(CR),12,2,75.5,88.41666666666667
Wesley Lautoa,6.72,71,"D(C), DMC",34,0,86.5,88.97058823529412
Olivier Boscagli,6.67,71,D(CL),10,0,79.5,86.3
Oussama Haddadi,6.64,71,D(CL),30,1,76.5,89.26666666666667
Moussa Doumbia,6.64,71,"AM(CL), FW",18,2,80.0,88.88888888888889
John Stiven Mendoza,6.63,71,AM(CLR),22,0,78.1,85.63636363636364
Tomas Hubocan,6.63,71,D(CLR),0,0,70.6,
Fabio,6.6,71,"D(LR), M(R)",15,0,76.3,85.8
Prince Oniangué,6.57,71,M(C),26,0,83.7,90.11538461538461
Myziane Maolida,6.54,71,"AM(L), FW",10,0,81.7,95.6
Jaroslav Plasil,6.5,71,M(C),16,0,85.1,90.3125
Racine Coly,6.43,71,"D(L), M(L)",6,0,81.6,83.83333333333333
James Lea Siliki,6.39,71,M(CL),14,0,75.9,87.07142857142857
Mickael Le Bihan,6.38,71,FW,2,0,81.5,101.5
John Bostock,6.36,71,DMC,10,0,85.3,98.4
Marvin Martin,6.32,71,M(C),8,0,76.5,78.375
Milan Gajic,6.31,71,D(R),1,0,85.7,90.0
Florent Balmont,6.28,71,DMC,15,0,84.4,72.2
Aaron Leya Iseka,6.25,71,FW,15,0,79.4,96.0
Ihsan Sacko,6.13,71,AM(L),4,0,80.4,110.25
Jeremy Grimm,6.09,71,DMC,2,0,83.1,83.5
Oleksandr Zinchenko,7.19,71,"D(L), M(CR)",14,0,91.5,82.35714285714286
Jan Bednarek,7.04,71,D(C),24,3,70.5,89.625
Nathaniel Mendez-Laing,6.88,71,"AM(R), AM(R)",11,0,62.0,89.72727272727273
Callum Paterson,6.82,71,"D(R), M(CR), FW",21,1,48.4,95.04761904761905
Ainsley Maitland-Niles,6.64,71,"D(LR), M(CLR)",11,1,78.5,89.63636363636364
Matteo Guendouzi,6.55,71,DMC,23,0,87.7,93.21739130434783
Ken Sema,6.52,71,M(CLR),9,0,72.5,84.0
Scott McTominay,6.48,71,DMC,9,1,83.3,95.88888888888889
Aboubakar Kamara,6.35,71,"AM(R), FW",5,0,73.3,138.0
Connor Wickham,6.16,71,"AM(L), FW",0,0,45.5,
Elias Kachunga,6.14,71,"AM(CLR), FW",13,0,71.3,90.92307692307692
Neeskens Kebano,6.13,71,AM(LR),0,0,82.8,
Danny Williams,6.08,71,M(C),1,0,79.2,95.0
Germán Pezzella,7.06,71,D(C),32,1,85.9,89.125
Christian Kouamé,7.05,71,"AM(L), FW",33,1,66.0,93.0909090909091
Lyanco,7.03,71,D(C),13,0,80.3,86.3076923076923
Ismael Bennacer,6.96,71,DMC,32,1,86.4,92.5
Timothy Castagne,6.95,71,"D(R), M(LR)",21,2,83.7,95.38095238095238
Ola Aina,6.88,71,"D(LR), M(LR)",22,2,78.2,98.18181818181819
Gianluca Mancini,6.86,71,D(C),25,0,82.8,90.08
Jeremie Boga,6.8,71,"AM(CLR), FW",14,0,87.0,102.85714285714286
Kevin Bonifazi,6.78,71,D(C),26,2,87.6,88.57692307692308
Bruno Alves,6.72,71,D(C),33,2,78.9,88.60606060606061
Davide Biraschi,6.7,71,D(CR),32,3,68.2,88.875
Bartosz Salamon,6.65,71,D(C),19,1,82.1,90.73684210526316
Arturo Calabresi,6.64,71,D(CR),16,0,79.9,88.375
Mehdi Bourabia,6.64,71,M(C),21,2,83.7,95.66666666666667
Filippo Costa,6.62,71,M(L),6,0,77.9,93.66666666666667
Nicolò Brighenti,6.61,71,D(C),11,1,77.8,90.0
Paolo Faragò,6.61,71,"D(R), DMC, M(R)",17,0,76.5,99.82352941176471
Luca Siligardi,6.6,71,"AM(LR), FW",19,1,69.6,86.57894736842105
Marco Capuano,6.58,71,D(CL),27,1,83.6,85.66666666666667
Mitchell Dijks,6.57,71,"D(L), M(L)",23,0,76.2,88.1304347826087
Luka Krajnc,6.57,71,D(C),9,0,81.2,87.77777777777777
Raman Chibsah,6.52,71,M(C),30,0,82.5,87.53333333333333
Edimilson Fernandes,6.5,71,M(CR),23,1,85.8,85.8695652173913
Bremer,6.47,71,D(C),2,0,84.6,91.0
Claud Adjapong,6.45,71,"D(R), M(LR)",3,0,74.6,90.33333333333333
Simone Padoin,6.41,71,"D(LR), M(CLR)",22,0,82.1,87.0
Lyanco,6.32,71,D(C),1,0,80.0,90.0
Giuseppe Pezzella,6.31,71,"D(L), M(L)",2,0,63.8,92.0
Patrick Cutrone,6.31,71,FW,12,0,74.3,119.83333333333333
Massimo Gobbi,6.2,71,"D(L), M(L)",13,0,75.2,91.07692307692308
Giuseppe Pezzella,5.83,71,"D(L), M(L)",1,0,76.5,110.0
Jordan Torunarigha,7.09,70,D(C),13,1,79.4,89.3076923076923
Lukas Kübler,6.98,70,"D(R), M(R)",15,1,69.8,79.13333333333334
Maximilian Mittelstädt,6.96,70,"D(L), M(L)",20,1,73.2,90.1
Dennis Geiger,6.82,70,DMC,2,0,89.7,123.0
Dawid Kownacki,6.73,70,"AM(L), FW",7,1,67.8,82.42857142857143
Kevin Danso,6.68,70,D(C),13,1,74.4,96.07692307692308
Eduard Löwen,6.62,70,"D(C), M(C)",17,1,75.3,95.41176470588235
Reiss Nelson,6.61,70,M(R),5,1,86.2,126.0
Javairô Dilrosun,6.59,70,AM(L),7,0,81.6,127.42857142857143
Ondrej Petrák,6.54,70,"D(C), DMC",18,0,85.5,90.22222222222223
Marco Terrazzino,6.42,70,"AM(CL), FW",7,0,77.3,74.28571428571429
Hamza Mendyl,6.41,70,"D(L), M(L)",7,0,72.6,77.85714285714286
Sebastian Kerk,6.37,70,AM(CLR),17,0,73.5,69.82352941176471
Matheus Cunha,6.35,70,FW,9,0,69.2,94.33333333333333
Taleb Tawatha,6.25,70,"D(L), M(L)",1,0,70.3,125.0
Noah Joel Sarenren Bazee,6.09,70,AM(R),3,0,43.8,53.666666666666664
Takuma Asano,5.96,70,"AM(CLR), FW",9,0,72.2,78.0
Christoph Janker,5.93,70,D(C),1,0,85.7,71.0
Christian Rivera,6.74,70,M(C),19,1,79.5,89.15789473684211
Santiago Comesaña,6.7,70,DMC,23,0,84.9,88.34782608695652
Chimy Avila,6.68,70,"AM(LR), FW",20,2,54.3,99.75
Carlos Akapo,6.68,70,D(L),12,0,76.1,84.33333333333333
Mathías Olivera,6.66,70,"D(L), M(L)",12,0,58.7,84.25
David Costas,6.57,70,D(C),13,1,88.1,90.23076923076923
Aleix García,6.56,70,DMC,20,1,85.0,83.35
Anuar Mohamed,6.41,70,AM(C),12,0,74.9,90.16666666666667
Marc Cardona,6.37,70,FW,6,0,72.1,99.5
Javi Guerra,6.31,70,FW,1,0,78.4,232.0
Borja Fernández,6.27,70,M(C),11,0,78.9,76.54545454545455
José Arnáiz,6.21,70,Forward,0,0,83.3,
Raphael Dwamena,6.12,70,Forward,1,0,70.7,213.0
Lluis Sastre,6.07,70,DMC,1,0,79.8,117.0
Cristian Ganea,6.0,70,Defender,1,0,100.0,50.0
Renaud Ripart,7.03,70,"D(R), M(L), FW",34,3,73.3,88.5
Ludovic Ajorque,6.93,70,FW,18,5,74.8,85.33333333333333
Jeff Reine-Adélaïde,6.87,70,"AM(CR), FW",29,2,84.1,88.48275862068965
Kalifa Coulibaly,6.72,70,FW,19,2,53.3,92.15789473684211
Sergi Palencia,6.71,70,D(R),22,0,80.0,90.18181818181819
Loïck Landre,6.69,70,D(C),19,1,80.6,83.84210526315789
Cédric Yambéré,6.64,70,"D(C), DMC",30,0,83.2,93.43333333333334
Moussa Diaby,6.62,70,"M(L), M(L)",10,0,83.3,113.1
Arnaud Nordin,6.61,70,"AM(LR), AM(LR)",11,1,84.4,95.27272727272727
Rachid Alioui,6.61,70,FW,11,0,72.3,112.63636363636364
Emmanuel Imorou,6.54,70,D(L),12,0,75.2,93.5
Romain Del Castillo,6.52,70,AM(L),15,1,74.5,89.26666666666667
Baptiste Guillaume,6.52,70,FW,15,0,62.6,79.26666666666667
Jordan Siebatcheu,6.5,70,FW,7,1,74.7,86.85714285714286
Umut Bozok,6.4,70,FW,14,0,75.4,88.64285714285714
Junior Sambia,6.39,70,AM(C),7,0,80.6,130.42857142857142
Jean-Victor Makengo,6.35,70,"AM(C), AM(C)",11,1,86.2,93.18181818181819
Mathieu Bodmer,6.29,70,"D(C), M(C)",10,0,69.6,106.5
Rafal Kurzawa,6.28,70,Midfielder,2,0,77.9,116.0
Yeni NGbakoto,6.27,70,AM(CLR),4,0,63.9,140.0
Arnold Bouka Moutou,6.22,70,"D(L), M(L)",0,0,69.2,
Jordi Mboula,6.12,70,Forward,3,0,70.0,92.0
Mohamed Lamine Diaby,6.08,70,Forward,2,0,85.2,80.5
Matt Targett,6.89,70,"D(L), M(L)",13,0,69.9,91.3076923076923
Callum Hudson-Odoi,6.65,70,"AM(R), AM(R)",4,0,86.0,97.75
Dominic Solanke,6.5,70,FW,2,0,71.7,171.0
Juninho Bacuna,6.49,70,M(C),16,0,75.4,88.5
Tyrone Mings,6.37,70,D(CL),2,0,83.9,71.0
Floyd Ayité,6.24,70,"M(CLR), FW",3,0,79.2,156.0
Fousseni Diabaté,6.19,70,"AM(R), FW",1,0,57.1,55.0
Alexander Sørloth,6.16,70,FW,0,0,64.4,
Lys Mousset,6.11,70,FW,1,0,71.9,351.0
Riccardo Gagliolo,6.86,70,D(CL),34,1,76.1,89.58823529411765
Marko Pajac,6.85,70,M(L),9,1,83.3,82.44444444444444
Alex Ferrari,6.67,70,D(CR),6,1,88.2,90.0
Marco DAlessandro,6.63,70,M(LR),16,0,73.9,93.5625
Raffaele Maiello,6.59,70,M(C),22,0,81.9,93.0
Koray Günter,6.54,70,D(C),8,0,83.5,104.125
Sebastiano Luperto,6.49,70,D(C),6,0,90.2,120.83333333333333
Filip Bradaric,6.42,70,DMC,17,0,85.9,87.88235294117646
Esteban Rolón,6.42,70,DMC,10,0,77.2,104.3
Mirko Gori,6.33,70,M(C),2,0,77.3,160.5
Marko Pajac,6.33,70,M(L),0,0,82.1,
Frederic Veseli,6.29,70,D(CLR),28,0,86.4,90.60714285714286
Francesco Zampano,6.28,70,"D(R), M(R)",24,0,73.7,87.66666666666667
Dawid Kownacki,6.19,70,"AM(L), FW",0,0,79.5,
Enrico Brignola,6.18,70,AM(CR),2,0,82.6,86.0
Daniele Dessena,6.13,70,"D(R), M(C)",3,0,75.7,116.0
Orji Okwonkwo,6.12,70,AM(R),2,0,68.9,127.5
Levan Mchedlidze,6.09,70,FW,0,0,76.0,
Nehuén Paz,5.98,70,D(CL),1,0,73.9,113.0
Matthias Zimmermann,6.84,69,"D(R), DMC",34,0,78.5,89.70588235294117
Stefan Posch,6.82,69,D(C),16,0,88.0,87.75
Marco Richter,6.7,69,AM(LR),17,1,70.0,84.29411764705883
Adam Bodzek,6.57,69,"D(C), DMC",20,0,84.0,80.2
Borna Sosa,6.56,69,D(L),7,0,73.8,87.57142857142857
Elvis Rexhbecaj,6.53,69,M(C),13,0,70.7,88.0
Lukas Mühl,6.51,69,D(C),31,0,84.3,90.0
Lukas Klünter,6.44,69,"D(R), M(R)",7,0,75.8,85.0
Patrick Erras,6.43,69,DMC,13,0,79.7,93.76923076923077
Robin Bormuth,6.36,69,D(C),6,0,80.1,102.5
Justin Hoogma,6.35,69,D(C),1,0,88.2,110.0
Aymen Barkok,6.23,69,AM(C),4,0,75.9,126.75
Edgar Salli,6.01,69,AM(LR),1,0,100.0,115.0
Brahim Díaz,6.74,69,AM(L),5,0,85.9,75.6
Coke,6.63,69,"D(CLR), M(R)",19,1,74.8,95.52631578947368
Pedro Porro,6.63,69,"D(R), M(R)",25,0,70.5,88.56
Adrián Diéguez,6.59,69,D(C),8,0,73.0,93.625
Riqui Puig,6.44,69,Midfielder,2,0,92.2,78.5
Andrew Hjulsager,6.24,69,Midfielder,2,0,78.9,175.0
Juan Aguilera,6.22,69,Midfielder,4,0,89.1,86.75
Javier Puado,6.18,69,Forward,2,0,69.7,174.5
Rajko Brezancic,6.08,69,D(L),0,0,66.7,
Cheikh NDoye,6.96,69,M(C),26,1,61.0,89.84615384615384
Fode Ballo-Toure,6.94,69,"D(L), D(L)",18,0,79.8,88.61111111111111
Fode Ballo-Toure,6.9,69,"D(L), D(L)",18,1,77.8,88.61111111111111
Ibrahima Sissoko,6.82,69,DMC,30,1,80.5,88.96666666666667
Jordan Lefort,6.76,69,D(CL),21,2,69.5,85.95238095238095
Remi Oudin,6.74,69,AM(R),32,2,60.5,82.09375
Adama Mbengue,6.72,69,D(L),8,0,64.4,92.5
Patrick Burner,6.7,69,D(R),15,0,83.9,90.26666666666667
Nicolas Cozza,6.69,69,D(C),11,0,84.1,89.63636363636364
Faitout Maouassa,6.64,69,"D(L), M(L)",25,0,71.2,85.52
Thomas Fontaine,6.6,69,D(C),4,0,85.6,104.25
Nicolas de Preville,6.59,69,"AM(CLR), FW",14,0,74.5,90.71428571428571
Abdallah Ndour,6.54,69,Defender,4,0,80.0,73.75
Moustapha Diallo,6.51,69,M(C),6,0,67.1,76.5
Timothy Weah,6.5,69,"Forward, Forward",1,0,57.1,54.0
Ignatius Ganago,6.45,69,FW,9,0,78.3,114.88888888888889
Samuel Moutoussamy,6.45,69,M(CL),19,1,81.4,86.94736842105263
Mehdi Zeffane,6.41,69,"D(LR), M(R)",14,0,82.6,86.78571428571429
Zaydou Youssouf,6.25,69,AM(CR),7,0,77.1,60.857142857142854
Steven Fortes,6.25,69,Defender,1,0,86.0,136.0
Facundo Píriz,6.24,69,DMC,0,0,79.7,
Quentin Cornette,6.14,69,AM(R),3,0,78.7,70.0
Kyle Walker-Peters,6.95,69,"D(R), D(R)",4,0,83.0,93.5
Hamza Choudhury,6.76,69,M(C),7,0,84.6,85.28571428571429
Denis Odoi,6.62,69,D(CLR),29,0,82.1,89.44827586206897
Lee Peltier,6.54,69,"D(CLR), DMC, M(R)",17,0,60.2,90.76470588235294
Carl Jenkinson,6.31,69,D(R),2,0,77.3,83.5
Jazz Richards,6.04,69,"D(LR), M(R)",0,0,69.2,
Mohamed Fares,6.81,69,"D(L), M(L)",32,3,78.4,92.09375
Hidde ter Avest,6.6,69,"D(R), M(R)",12,0,73.2,81.75
Luca Valzania,6.6,69,M(C),11,0,77.0,82.36363636363636
Luca Valzania,6.57,69,M(C),1,0,76.9,73.0
Leo Stulac,6.54,69,M(C),17,1,85.8,85.3529411764706
Matteo Scozzarella,6.5,69,M(C),17,0,82.4,86.41176470588235
Mattia Valoti,6.41,69,AM(CL),14,0,80.6,87.64285714285714
Andrea Favilli,6.38,69,Forward,0,0,75.0,
Pedro Pereira,6.36,69,"D(R), M(R)",15,0,75.5,91.93333333333334
Francesco Cassata,6.36,69,AM(C),14,0,77.9,80.71428571428571
Danilo Soddimo,6.32,69,AM(L),1,0,80.0,244.0
Nicolas Frey,6.31,69,D(CLR),3,0,78.0,75.66666666666667
Mattias Svanberg,6.31,69,M(CL),13,0,77.2,90.38461538461539
Matteo Brighi,6.26,69,M(C),1,0,80.4,224.0
Lorenzo Dickmann,6.12,69,Defender,2,0,71.7,87.0
Linton Maina,6.54,68,AM(LR),17,0,76.4,83.82352941176471
Florent Muslija,6.51,68,Midfielder,6,0,79.0,112.66666666666667
Marco Friedl,6.48,68,D(CL),5,0,85.4,94.6
Adam Zrelák,6.42,68,FW,10,0,56.3,94.0
Georg Teigl,6.29,68,"D(R), M(R)",2,0,57.1,146.0
Cedric Teuchert,5.99,68,FW,2,0,60.0,80.0
Sergio Reguilón,7.0,68,D(L),13,0,85.9,86.3076923076923
Óscar Rodríguez,6.9,68,AM(C),29,1,75.4,86.72413793103448
Óscar Trejo,6.64,68,M(CLR),22,0,78.5,80.63636363636364
Óscar Duarte,6.5,68,"D(C), DMC",7,0,87.1,93.85714285714286
