Name,Rating,Fifa Ability Overall,Position,Apps,Man of the match,Pass success percentage,Avg Minutes Played
Josip Ilicic,7.39,81,"AM(CLR), FW",23,4,80.2,93.52173913043478
Stephan El Shaarawy,7.26,81,"AM(CLR), FW",23,4,81.7,91.69565217391305
Fabián Ruiz,7.25,81,M(CL),20,2,89.8,99.55
Arkadiusz Milik,7.13,81,FW,27,4,82.7,88.81481481481481
Fabio Quagliarella,7.11,81,FW,37,6,69.0,86.78378378378379
Marcelo Brozovic,7.08,81,M(CR),31,4,90.1,85.70967741935483
Sime Vrsaljko,7.08,81,"D(LR), M(R)",8,0,85.9,90.75
Piotr Zielinski,6.99,81,AM(CL),33,0,90.0,87.36363636363636
Matteo Politano,6.92,81,"AM(LR), FW",31,0,80.1,82.83870967741936
Faouzi Ghoulam,6.9,81,D(L),12,0,89.3,96.08333333333333
Diego Perotti,6.89,81,"M(CLR), FW",6,1,81.5,110.83333333333333
Elseid Hysaj,6.72,81,D(LR),24,0,86.0,87.875
Kevin-Prince Boateng,6.71,81,"M(CLR), FW",11,0,80.7,85.63636363636364
João Mário,6.7,81,M(CLR),12,1,84.9,90.08333333333333
Simone Zaza,6.48,81,FW,11,0,67.2,129.45454545454547
Simone Verdi,6.48,81,"AM(CLR), FW",9,1,85.5,77.88888888888889
Borja Valero,6.46,81,M(CL),12,0,93.7,102.25
Antonio Candreva,6.38,81,M(CLR),5,0,82.7,98.6
Kerem Demirbay,7.59,80,AM(C),24,6,81.2,84.29166666666667
Sébastien Haller,7.55,80,FW,23,3,63.4,94.82608695652173
Kai Havertz,7.25,80,M(CR),33,2,87.2,87.9090909090909
Pavel Kaderábek,6.92,80,"D(R), M(R)",28,1,76.3,89.60714285714286
Nico Schulz,6.9,80,"D(L), M(L)",29,1,78.0,87.65517241379311
Benjamin Pavard,6.73,80,D(CR),29,0,84.6,89.86206896551724
Matthias Ginter,6.73,80,"D(CR), DMC",27,1,86.4,88.14814814814815
Mario Gomez,6.6,80,FW,25,1,65.7,88.64
Mahmoud Dahoud,6.57,80,M(C),7,0,83.1,99.28571428571429
Daniel Didavi,6.57,80,"AM(CR), FW",8,0,78.5,118.875
Mark Uth,6.49,80,"AM(CR), FW",15,1,72.5,93.93333333333334
Sebastian Rudy,6.42,80,"D(R), M(CR)",17,0,80.5,80.0
Raúl García,7.17,80,"M(CLR), FW",27,6,55.7,88.11111111111111
Santi Cazorla,7.09,80,M(CLR),30,5,86.6,88.36666666666666
Giovani Lo Celso,7.06,80,"AM(C), FW",27,4,82.9,88.92592592592592
