Name,Rating,Fifa Ability Overall,Position,Apps,Aerials Won per game,Man of the match,Tackles,Clearances per game,Passes per game,Pass success percentage,Unnamed: 32,Avg Minutes Played
Dennis Aogo,6.52,75,"D(L), M(CL)",13.0,0.7,0.0,1.0,1.3,34.5,87.0,,79.07692307692308
Lukas Mühl,6.51,69,D(C),31.0,1.5,0.0,1.9,4.3,46.8,84.3,,90.0
Jean Zimmer,6.5,71,"D(R), M(R)",17.0,0.3,1.0,0.9,1.3,25.5,71.0,,84.6470588235294
Philipp Mwene,6.49,71,"D(R), M(R)",2.0,0.7,0.0,1.2,1.5,16.2,72.2,,135.5
Andreas Beck,6.48,74,"D(LR), M(R)",21.0,1.1,0.0,1.5,2.0,27.1,69.7,,84.71428571428571
Marius Wolf,6.48,77,"D(R), M(CLR)",10.0,0.6,0.0,0.9,0.8,35.1,84.5,,83.1
Marco Friedl,6.48,68,D(CL),5.0,1.1,0.0,1.1,2.7,34.1,85.4,,94.6
Steven Zuber,6.47,76,"D(L), M(CLR)",13.0,0.8,0.0,0.5,0.5,28.6,76.3,,81.46153846153847
Nico Schlotterbeck,6.47,58,Defender,2.0,1.3,0.0,1.5,2.5,22.5,77.8,,113.0
Abdul Rahman Baba,6.45,74,"D(L), M(L)",2.0,1.0,0.0,1.5,1.0,36.0,77.8,,81.5
Stefan Ilsanker,6.44,75,"D(CR), DMC",10.0,1.9,0.0,1.4,2.3,24.1,78.6,,92.8
Lukas Klünter,6.44,69,"D(R), M(R)",7.0,0.8,0.0,1.1,1.7,18.2,75.8,,85.0
Marcin Kaminski,6.44,73,D(C),27.0,1.8,0.0,0.7,3.8,43.1,84.0,,90.0
Kevin Akpoguma,6.44,75,D(C),5.0,0.8,0.0,2.9,2.1,32.9,84.4,,99.6
Philipp Lienhart,6.43,67,D(C),7.0,1.2,0.0,0.4,2.7,20.7,81.7,,87.42857142857143
Sebastian Rudy,6.42,80,"D(R), M(CR)",17.0,0.3,0.0,2.1,0.6,30.6,80.5,,80.0
Sebastian Jung,6.41,72,D(R),1.0,0.0,0.0,1.0,1.0,46.0,87.0,,57.0
Hamza Mendyl,6.41,70,"D(L), M(L)",7.0,0.3,0.0,1.9,0.7,21.9,72.6,,77.85714285714286
Håvard Nordtveit,6.4,76,"D(CR), DMC",4.0,0.8,0.0,1.0,1.8,33.6,83.3,,117.0
Matthias Ostrzolek,6.4,75,"D(L), DMC, M(L)",16.0,0.6,0.0,1.8,2.1,34.4,75.1,,91.625
Robert Bauer,6.39,72,"D(CLR), M(LR)",19.0,0.6,0.0,2.2,3.0,27.3,76.7,,90.73684210526316
